사용월,호선명,지하철역,07:00:00~07:59:59,,08:00:00~08:59:59,
,,,승차,하차,승차,하차
2023-03,경춘선,대성리,"1,741",730,"1,821","1,134"
2023-03,경춘선,청평,"4,461","1,575","5,791","4,343"
2023-03,경춘선,상천,676,285,786,731
2023-03,경춘선,가평,"3,690","2,517","4,265","6,146"
2023-03,경춘선,굴봉산,150,77,216,255
2023-03,경춘선,백양리,24,329,119,314
2023-03,경춘선,강촌,444,270,547,"1,689"
2023-03,경춘선,김유정,690,507,565,810
2023-03,경춘선,남춘천,"5,095","2,698","6,190","5,915"
2023-03,경춘선,춘천,"1,642","1,657","2,542","4,720"
2023-03,수인선,고색,"18,982","16,573","15,614","27,254"
2023-03,수인선,오목천,"14,274","5,616","15,743","16,360"
2023-03,수인선,어천,"2,659","3,904","3,077","3,349"
2023-03,수인선,야목,"1,491",617,"1,374",729
2023-03,수인선,사리,"28,484","3,561","25,711","5,516"
2023-03,수인선,달월,139,170,206,309
2023-03,수인선,월곶,"11,724","1,990","12,336","3,250"
2023-03,수인선,소래포구,"19,738","3,579","15,645","6,649"
2023-03,수인선,인천논현,"18,696","9,245","16,672","13,956"
2023-03,수인선,호구포,"8,941","19,671","8,905","25,495"
2023-03,수인선,남동인더스파크,"1,419","17,258","2,189","21,470"
2023-03,수인선,원인재,"15,683","6,121","17,700","8,527"
2023-03,수인선,연수,"17,734","4,770","15,472","12,581"
2023-03,수인선,송도,"10,647","2,727","10,282","4,372"
2023-03,수인선,인하대,"26,117","5,606","20,255","25,175"
2023-03,수인선,숭의,"15,278","8,857","13,283","13,049"
2023-03,수인선,신포,"3,595","4,319","3,349","10,015"
2023-03,수인선,인천,"2,294","2,883","2,088","4,802"
2023-03,경강선,판교,"5,931","17,351","4,474","35,326"
2023-03,경강선,이매,"5,949","3,366","4,487","2,917"
2023-03,경강선,삼동,"14,473","2,789","14,006","2,983"
2023-03,경강선,경기광주,"48,250","6,959","46,647","10,702"
2023-03,경강선,초월,"17,205","5,019","17,248","6,409"
2023-03,경강선,곤지암,"8,552","5,862","7,693","8,277"
2023-03,경강선,신둔도예촌,"7,273","3,246","5,311","4,437"
2023-03,경강선,이천,"9,339","5,786","7,792","9,819"
2023-03,경강선,부발,"7,193","6,919","6,483","6,711"
2023-03,경강선,세종대왕릉,"1,150",680,"1,170",870
2023-03,경강선,여주,"7,484","3,883","7,005","6,275"
2023-03,5호선,방화,"30,032","6,116","28,011","14,557"
2023-03,5호선,개화산,"24,065","7,723","22,330","17,596"
2023-03,5호선,김포공항,"5,422","15,388","8,941","17,862"
2023-03,5호선,송정,"21,761","7,115","25,621","12,267"
2023-03,5호선,마곡,"27,452","16,213","27,638","53,219"
2023-03,5호선,발산,"30,902","41,832","31,957","126,794"
2023-03,5호선,우장산,"63,584","16,719","63,148","25,910"
2023-03,5호선,화곡,"128,489","16,371","161,580","35,634"
2023-03,5호선,까치산,"136,255","12,157","167,412","22,756"
2023-03,5호선,신정(은행정),"70,609","9,980","83,695","13,279"
2023-03,5호선,목동,"66,170","17,646","79,062","28,868"
2023-03,5호선,오목교(목동운동장앞),"56,303","31,565","62,692","69,165"
2023-03,5호선,양평,"27,030","9,888","30,967","39,028"
2023-03,5호선,영등포구청,"8,598","6,811","12,153","26,295"
2023-03,5호선,영등포시장,"26,152","14,289","36,815","40,144"
2023-03,5호선,신길,"17,092","4,862","25,124","14,918"
2023-03,5호선,여의도,"10,984","151,352","15,113","234,312"
2023-03,5호선,여의나루,"6,052","43,670","9,547","76,786"
2023-03,5호선,마포,"30,876","22,511","39,927","78,571"
2023-03,5호선,공덕,"23,304","32,598","35,821","86,089"
2023-03,5호선,애오개,"20,390","10,421","27,757","28,366"
2023-03,5호선,충정로(경기대입구),"7,246","14,428","9,723","37,205"
